Date, Open, High, Low, Close
04/06/21, 1630.82, 1639.15, 1610.77, 1615.61
04/05/21, 1593.30, 1640.99, 1593.30, 1630.82
04/01/21, 1600.46, 1600.46, 1568.40, 1593.30
03/31/21, 1575.72, 1610.39, 1575.72, 1600.47
03/30/21, 1547.83, 1577.36, 1538.42, 1575.72
03/29/21, 1561.96, 1585.40, 1544.14, 1547.83
03/26/21, 1478.03, 1561.96, 1478.03, 1561.96
03/25/21, 1461.36, 1482.43, 1426.58, 1478.03
03/24/21, 1447.26, 1500.33, 1447.26, 1461.35
03/23/21, 1503.92, 1503.92, 1441.59, 1447.26
03/22/21, 1521.60, 1521.60, 1491.46, 1503.92
03/19/21, 1521.86, 1534.05, 1488.49, 1521.60
03/18/21, 1547.04, 1567.02, 1518.23, 1521.86
03/17/21, 1531.16, 1549.46, 1513.27, 1547.04
03/16/21, 1546.57, 1554.01, 1528.89, 1531.16
03/12/21, 1566.90, 1566.90, 1542.37, 1565.23
03/11/21, 1511.41, 1567.12, 1511.41, 1566.90
03/10/21, 1505.24, 1513.83, 1486.16, 1511.41
03/09/21, 1508.62, 1514.41, 1467.61, 1505.24
03/08/21, 1490.19, 1522.53, 1485.47, 1508.62
03/05/21, 1438.25, 1492.10, 1433.98, 1490.19
03/04/21, 1503.14, 1503.14, 1417.28, 1438.25
03/03/21, 1486.47, 1514.21, 1476.45, 1503.14
03/02/21, 1469.01, 1495.08, 1463.85, 1486.47
03/01/21, 1406.99, 1477.67, 1406.99, 1469.01
02/26/21, 1451.37, 1451.37, 1404.54, 1406.99
02/25/21, 1501.76, 1519.80, 1445.47, 1451.37
02/24/21, 1467.19, 1505.87, 1465.41, 1501.76
02/23/21, 1458.02, 1469.74, 1416.73, 1467.19
02/22/21, 1436.92, 1477.80, 1419.04, 1458.02
02/19/21, 1399.09, 1440.00, 1399.09, 1436.92
02/18/21, 1414.13, 1422.15, 1387.15, 1399.09
02/17/21, 1421.23, 1429.81, 1401.97, 1414.13
02/16/21, 1378.79, 1424.66, 1378.79, 1421.23
02/12/21, 1363.90, 1382.09, 1350.71, 1378.79
02/11/21, 1372.81, 1378.98, 1350.31, 1363.90
02/10/21, 1366.86, 1383.77, 1356.53, 1372.81
02/09/21, 1369.77, 1370.43, 1345.80, 1366.86
02/08/21, 1336.06, 1372.91, 1336.06, 1369.77
02/05/21, 1308.06, 1339.59, 1308.06, 1336.06
02/04/21, 1300.95, 1310.75, 1296.87, 1308.06
02/03/21, 1289.42, 1308.39, 1289.42, 1300.95
